"year","month","county","antal","ers_tagare","akt_stod","anst_m_stod"
2012,"Juni","BLEKINGE",234,2,8,NA
2012,"Juni","DALARNA",333,9,11,NA
2012,"Juni","GOTLAND",220,10,7,NA
2012,"Juni","GÄVLEBORG",358,8,6,NA
2012,"Juni","HALLAND",479,13,9,NA
2012,"Juni","JÄMTLAND",240,8,15,NA
2012,"Juni","JÖNKÖPING",416,4,12,NA
2012,"Juni","KALMAR",326,5,12,NA
2012,"Juni","KRONOBERG",342,2,6,NA
2012,"Juni","NORRBOTTEN",286,8,11,NA
2012,"Juni","SKÅNE",2915,65,93,NA
2012,"Juni","STOCKHOLM",6724,137,104,NA
2012,"Juni","SÖDERMANLAND",377,9,3,NA
2012,"Juni","UPPSALA",1266,17,31,NA
2012,"Juni","VÄRMLAND",467,5,16,NA
2012,"Juni","VÄSTERBOTTEN",637,12,16,NA
2012,"Juni","VÄSTERNORRLAND",463,17,12,NA
2012,"Juni","VÄSTMANLAND",327,13,16,NA
2012,"Juni","VÄSTRA GÖTALAND",3099,87,95,NA
2012,"Juni","ÖREBRO",476,7,9,NA
2012,"Juni","ÖSTERGÖTLAND",853,14,25,NA
2012,"Juni","Okänd",39,1,0,NA
2012,"Juli","BLEKINGE",232,2,8,NA
2012,"Juli","DALARNA",329,7,10,NA
2012,"Juli","GOTLAND",218,10,6,NA
2012,"Juli","GÄVLEBORG",352,5,7,NA
2012,"Juli","HALLAND",478,11,9,NA
2012,"Juli","JÄMTLAND",241,6,14,NA
2012,"Juli","JÖNKÖPING",413,6,11,NA
2012,"Juli","KALMAR",328,7,13,NA
2012,"Juli","KRONOBERG",343,2,6,NA
2012,"Juli","NORRBOTTEN",285,10,10,NA
2012,"Juli","SKÅNE",2907,70,89,NA
2012,"Juli","STOCKHOLM",6713,151,96,NA
2012,"Juli","SÖDERMANLAND",378,6,4,NA
2012,"Juli","UPPSALA",1251,19,29,NA
2012,"Juli","VÄRMLAND",470,6,18,NA
2012,"Juli","VÄSTERBOTTEN",636,15,17,NA
2012,"Juli","VÄSTERNORRLAND",460,18,10,NA
2012,"Juli","VÄSTMANLAND",327,15,13,NA
2012,"Juli","VÄSTRA GÖTALAND",3079,93,94,NA
2012,"Juli","ÖREBRO",476,9,9,NA
2012,"Juli","ÖSTERGÖTLAND",850,18,22,NA
2012,"Juli","Okänd",36,NA,NA,NA
2012,"augusti","BLEKINGE",231,5,8,NA
2012,"augusti","DALARNA",331,10,9,NA
2012,"augusti","GOTLAND",218,10,7,NA
2012,"augusti","GÄVLEBORG",352,8,7,NA
2012,"augusti","HALLAND",474,13,10,NA
2012,"augusti","JÄMTLAND",239,4,15,NA
2012,"augusti","JÖNKÖPING",411,7,10,NA
2012,"augusti","KALMAR",331,9,13,NA
2012,"augusti","KRONOBERG",342,4,6,NA
2012,"augusti","NORRBOTTEN",291,11,9,NA
