"Utbildningsgrupper","Radetiketter"
"Byggnadsantikvarier och kulturvård","Bebyggelseantikvarie"
"Byggnadsantikvarier och kulturvård","Byggnadsantikvarie"
"Byggnadsantikvarier och kulturvård","Byggnadsvård"
"Byggnadsantikvarier och kulturvård","Hemslöjdsutb, trä o metallinr"
"Byggnadsantikvarier och kulturvård","Hemslöjdsutbildning"
"Byggnadsantikvarier och kulturvård","Hemslöjdsutbildning, textilinr"
"Byggnadsantikvarier och kulturvård","Konservatorsutbildning"
"Byggnadsantikvarier och kulturvård","Konsthantverk"
"Byggnadsantikvarier och kulturvård","Kulturvård"
"Byggnadsantikvarier och kulturvård","Humaniora: Kulturvård"
"Uppgift saknas, samt tom","Uppgift saknas"
"Uppgift saknas, samt tom","(tom)"
"Uppgift saknas, samt tom",""
"Logopedutbildning","Logopedutbildning"
"Arkiv och dokumentation","Arkivkunskap o dokumenthanteri"
"Arkiv och dokumentation","Arkivvetenskap"
"Arkiv och dokumentation","Humaniora: Arkivvetenskap"
"Arkiv och dokumentation","Data- o systemvetenskap"
"Arkiv och dokumentation","Datalingvistik"
"Arkiv och dokumentation","Datavetenskap (matematisk)"
"Arkiv och dokumentation","Dokumentations- o info.vetensk"
"Arkiv och dokumentation","Systemvetenskap"
"Bibliotek och information","Humaniora: Bibliotek- och informationsvetenskap"
"Bibliotek och information","Bibliotekarieutbildning"
"Bibliotek och information","Biblioteks- o informationsvet."
"Bibliotek och information","Informationsdesign"
"Bibliotek och information","Informationsteknologi/datatekn"
"Arkeologi","Arkeologi"
"Arkeologi","Humaniora: Arkeologi"
"Arkeologi","Medeltidsarkeologi"
"Humaniora","Antikens kultur- o samhällsliv"
"Humaniora","Arkitekturhistoria (motsv)"
"Humaniora","Beteendevetenskap"
"Humaniora","Bildlärare"
"Humaniora","Bildpedagogik"
"Humaniora","Bok- o bibliotekshistoria"
"Humaniora","Dansvetenskap/-historia"
"Humaniora","Drama/Teater/Film"
"Humaniora","Egyptologi"
"Humaniora","Ekonomisk historia"
"Humaniora","Estetik"
"Humaniora","Etnologi"
"Humaniora","Filmvetenskap/-historia"
"Humaniora","Filosofi"
"Humaniora","Freds- och konfliktforskning"
"Humaniora","Genusvetenskap"
"Humaniora","Historia"
"Humaniora","Humaniora, ABM"
"Humaniora","Humaniora, allmän inriktning"
"Humaniora","Humaniora: Antikens kultur och samhällsliv"
"Humaniora","Humaniora: Etnologi"
"Humaniora","Humaniora: Filmvetenskap"
"Humaniora","Humaniora: Historia"
"Humaniora","Humaniora: Idé- och lärdomshistoria"
"Humaniora","Humaniora: Konstvetenskap"
"Humaniora","Humaniora: Kultur"
"Humaniora","Humaniora: Litteraturvetenskap"
"Humaniora","Humaniora: Museivetenskap/museologi"
"Humaniora","Humaniora: Musikvetenskap"
"Humaniora","Humaniora: Osteologi"
"Humaniora","Humaniora: Textilvetenskap"
"Humaniora","Idé- och lärdomshistoria"
"Humaniora","Konst- och bildvetenskap"
"Humaniora","Konstnärlig högskoleutbildning"
"Humaniora","Konstvetenskap/-historia"
"Humaniora","Litteraturvetenskap/-historia"
"Humaniora","Museologi/Museivetenskap"
"Humaniora","Musik"
"Humaniora","Musikvetenskap/-historia"
"Humaniora","Osteologi (historisk)"
"Humaniora","Pedagogik"
"Humaniora","Psykologi"
"Humaniora","Religionshistoria/-vetenskap"
"Humaniora","Samhälsvetenskap"
"Humaniora","Socialantropologi"
"Humaniora","Scoiologi"
"Humaniora","Socionomutbidning"
"Humaniora","Statsvetenskap"
"Humaniora","Teatervetenskap/-historia"
"Humaniora","Teologi"
"Humaniora","Vetenskapsteori"
"Humaniora","Ämneslärare"
"Språk","Humaniora: Retorik"
"Språk","Humaniora: Språk"
"Språk","Engelska"
"Språk","Franska"
"Språk","Finska, Finsk-Ugriska språk"
"Språk","Fonetik"
"Språk","Klassiska språk (latin m fl)"
"Språk","Lingvistik"
"Språk","Moderna språk"
"Språk","Nordiska språk"
"Språk","Retorik"
"Språk","Ryska"
"Språk","Samiska"
"Språk","Spanska"
"Språk","Språk (främmande språk)"
"Språk","Språkvetenskap"
"Språk","Svenska"
"Språk","Svenska som främmande språk"
"Språk","Teckenspråk"
"Språk","Tyska"
"Språk","Vuxendövtolk"
"Språk","Översättning, facköversättning"
"Kommuniktaion och media","Film-, radio- och TV-produktio"
"Kommuniktaion och media","Formgivning, design"
"Kommuniktaion och media","Foto, fotografi"
"Kommuniktaion och media","Grafisk design"
"Kommuniktaion och media","Grafisk teknik och bokbinderi"
"Kommuniktaion och media","Illustration, reklam, grafisk"
"Kommuniktaion och media","Industri- och produktdesign"
"Kommuniktaion och media","Inredningsdesign"
"Kommuniktaion och media","Journalistik"
"Kommuniktaion och media","Marknadsföring"
"Kommuniktaion och media","Medie- o kommunikationsvetensk, MKV"
